Finding ID,Domain,Classification,Finding,Founder Decision,Constitutional Principle,Systems Affected,Dependencies,Proposed Workstream,Day 1 Impact,Verification Required,Status
AUDIT-11-SUMMARY,Administration & Governance,P0/P1 Summary,Admin identity fragmentation; no admin MFA; no institutional audit log; no appeals; no durable governance record for role promotion.,,,"Web, iOS, Android, API, DB as applicable",See proposed workstreams,,High,Code + API + applicable Playwright/device/human/failure/privacy/safety/accessibility tests,Not started
AUDIT-12-SUMMARY,Cross-System Integration,P0/P1 Summary,"CRON_SECRET optional guard; incomplete identity object; stale/disconnected trust; no trust-signal integration; constitutional principles not enforced in architecture; member-state divergence; no event cancellation data model; missing report feedback; one-way verification; no graceful degradation.",,,"Web, iOS, Android, API, DB as applicable",See proposed workstreams,,High,Code + API + applicable Playwright/device/human/failure/privacy/safety/accessibility tests,Not started
WS-01,"Audits 1, 12",P0,"Web/mobile registration, login, logout, password reset, session persistence, rate limits, session revocation, account recovery.",,Mapped during Constitutional Crosswalk,Cross-system,To be sequenced by Replit after review,Production authentication & account lifecycle,High,Populate Feature Test Traceability Matrix after implementation,Proposed
WS-02,"Audits 1, 6, 12",P0,"Apple nonce fix, phone OTP verification, mobile deep links, tester-build validation, EAS rebuild and device acceptance testing.",,Mapped during Constitutional Crosswalk,Cross-system,To be sequenced by Replit after review,Mobile authentication release,High,Populate Feature Test Traceability Matrix after implementation,Proposed
WS-03,"Audits 1, 7, 12",P0/P1,"Single authoritative member state for identity, membership, trust, approval, quiet hours, and account state.",,Mapped during Constitutional Crosswalk,Cross-system,To be sequenced by Replit after review,Unified identity and entitlement context,High,Populate Feature Test Traceability Matrix after implementation,Proposed
WS-04,"Audits 2, 3, 12",P0,"Candidate-business state, owner claims, verification, source integrity, corrections, non-inferred ownership, confidence freshness.",,Mapped during Constitutional Crosswalk,Cross-system,To be sequenced by Replit after review,Business data integrity & claim lifecycle,High,Populate Feature Test Traceability Matrix after implementation,Proposed
WS-05,"Audits 3, 5, 12",P0,"Numeric coordinates, no 0,0 publication, geocoding validation, permission consent, location retention/deletion, service-area/home-based business handling.",,Mapped during Constitutional Crosswalk,Cross-system,To be sequenced by Replit after review,Geographic integrity & location privacy,High,Populate Feature Test Traceability Matrix after implementation,Proposed
WS-06,"Audits 4, 5, 12",P0,"Unique confirmations, geo targeting, expiry/clearing, reporter protection, separate risk/confidence, sparse-data handling, uncertainty explanations.",,Mapped during Constitutional Crosswalk,Cross-system,To be sequenced by Replit after review,Community safety alerts & confidence,High,Populate Feature Test Traceability Matrix after implementation,Proposed
WS-07,"Audits 4, 5, 11",P0,"Cross-surface blocking, DM restrictions, shared-location revocation, moderation pathways, anti-harassment and privacy enforcement.",,Mapped during Constitutional Crosswalk,Cross-system,To be sequenced by Replit after review,"Blocking, privacy boundaries & abuse controls",High,Populate Feature Test Traceability Matrix after implementation,Proposed
WS-08,"Audits 6, 12",P0,"Source Hierarchy, Ownership Integrity, Compassion Protocol, uncertainty rule, professional-consultation thresholds, AI labeling, deletion, prompt-injection defenses.",,Mapped during Constitutional Crosswalk,Cross-system,To be sequenced by Replit after review,KinfolkAI constitutional safety layer,High,Populate Feature Test Traceability Matrix after implementation,Proposed
WS-09,"Audits 7, 12",P0,"RevenueCat verification, Stripe webhook truth, one active entitlement, family seats, grace period, cancellation/refund integrity, tier enforcement.",,Mapped during Constitutional Crosswalk,Cross-system,To be sequenced by Replit after review,Membership commerce integrity,High,Populate Feature Test Traceability Matrix after implementation,Proposed
WS-10,"Audits 4, 9, 10, 12",P0/P1,"Cancel/reschedule states, attendee notifications, material-change log, capacity enforcement, completion tracking, archived history.",,Mapped during Constitutional Crosswalk,Cross-system,To be sequenced by Replit after review,Event lifecycle & experience continuity,High,Populate Feature Test Traceability Matrix after implementation,Proposed
WS-11,"Audits 10, 12",P0,"Delivery classes, retries, unsubscribe, quiet hours, notification explanations, duplicate suppression, communication history.",,Mapped during Constitutional Crosswalk,Cross-system,To be sequenced by Replit after review,Communications trust & reliability,High,Populate Feature Test Traceability Matrix after implementation,Proposed
WS-12,"Audits 11, 12",P0,"Single authorization service, least privilege, admin MFA, device/session binding, bootstrap lockout, conflict-of-interest controls.",,Mapped during Constitutional Crosswalk,Cross-system,To be sequenced by Replit after review,Administrative authority & MFA,High,Populate Feature Test Traceability Matrix after implementation,Proposed
WS-13,"Audits 5, 11, 12",P0/P1,"Append-only decision records, evidence, rationale, reviewer, outcome, appeal eligibility, reversal, retention, member-facing appeal path.",,Mapped during Constitutional Crosswalk,Cross-system,To be sequenced by Replit after review,Decision Ledger & appeals,High,Populate Feature Test Traceability Matrix after implementation,Proposed
WS-14,"Audits 8, 10, 12",P0,"Migration/rollback strategy, backup verification, CRON_SECRET fail-closed, static-asset integrity, graceful degradation, deployment validation.",,Mapped during Constitutional Crosswalk,Cross-system,To be sequenced by Replit after review,"Deployment, migrations & operational resilience",High,Populate Feature Test Traceability Matrix after implementation,Proposed
WS-15,Audits 1-12,P0/P1,"Onboarding persistence, Welcome Home Experience, profile stability, business search, maps, feed, events, saved places, safety center, reviews, submissions.",,Mapped during Constitutional Crosswalk,Cross-system,To be sequenced by Replit after review,Launch-facing experience polish,High,Populate Feature Test Traceability Matrix after implementation,Proposed
WS-16,All audits,Verification,"Feature Test Traceability Matrix populated after each workstream; Playwright, API, device, human, failure, privacy, safety, and accessibility evidence.",,Mapped during Constitutional Crosswalk,Cross-system,To be sequenced by Replit after review,Verification & traceability system,Medium,Populate Feature Test Traceability Matrix after implementation,Proposed
